# ZDC LUT for HI running 2023, commissioning implementation
# Scaling factor of 1 used for double -> int conversion
#<header> V1 13 32 </header>

0 1 # Scaling Factor
475 100 # [index ibit=218], [index idet=1]
476 103 # [index ibit=219], [index idet=1]
477 107 # [index ibit=220], [index idet=1]
478 110 # [index ibit=221], [index idet=1]
479 113 # [index ibit=222], [index idet=1]
480 116 # [index ibit=223], [index idet=1]
481 119 # [index ibit=224], [index idet=1]
482 123 # [index ibit=225], [index idet=1]
483 126 # [index ibit=226], [index idet=1]
484 129 # [index ibit=227], [index idet=1]
485 134 # [index ibit=228], [index idet=1]
486 141 # [index ibit=229], [index idet=1]
487 147 # [index ibit=230], [index idet=1]
488 154 # [index ibit=231], [index idet=1]
489 160 # [index ibit=232], [index idet=1]
490 167 # [index ibit=233], [index idet=1]
491 173 # [index ibit=234], [index idet=1]
492 179 # [index ibit=235], [index idet=1]
493 186 # [index ibit=236], [index idet=1]
494 192 # [index ibit=237], [index idet=1]
495 199 # [index ibit=238], [index idet=1]
496 205 # [index ibit=239], [index idet=1]
497 212 # [index ibit=240], [index idet=1]
498 218 # [index ibit=241], [index idet=1]
499 225 # [index ibit=242], [index idet=1]
500 231 # [index ibit=243], [index idet=1]
501 238 # [index ibit=244], [index idet=1]
502 244 # [index ibit=245], [index idet=1]
503 251 # [index ibit=246], [index idet=1]
504 257 # [index ibit=247], [index idet=1]
505 264 # [index ibit=248], [index idet=1]
506 274 # [index ibit=249], [index idet=1]
507 287 # [index ibit=250], [index idet=1]
508 299 # [index ibit=251], [index idet=1]
509 312 # [index ibit=252], [index idet=1]
510 325 # [index ibit=253], [index idet=1]
511 338 # [index ibit=254], [index idet=1]
512 351 # [index ibit=255], [index idet=1]
513 0 # [index ibit=0], [index idet=2]
514 0 # [index ibit=1], [index idet=2]
515 0 # [index ibit=2], [index idet=2]
516 0 # [index ibit=3], [index idet=2]
517 0 # [index ibit=4], [index idet=2]
518 0 # [index ibit=5], [index idet=2]
519 0 # [index ibit=6], [index idet=2]
520 0 # [index ibit=7], [index idet=2]
521 0 # [index ibit=8], [index idet=2]
522 0 # [index ibit=9], [index idet=2]
523 0 # [index ibit=10], [index idet=2]
524 0 # [index ibit=11], [index idet=2]
525 0 # [index ibit=12], [index idet=2]
526 0 # [index ibit=13], [index idet=2]
527 0 # [index ibit=14], [index idet=2]
528 0 # [index ibit=15], [index idet=2]
529 0 # [index ibit=16], [index idet=2]
530 0 # [index ibit=17], [index idet=2]
531 0 # [index ibit=18], [index idet=2]
